"","customer_id","est_income","hold_bal","pref_cust_prob","imp_cscore","RiskScore","imp_crediteval","axio_score","card_offer","DS_AX03efs","DS_BWEsk45","DS_CARDIF2","CR_East","AE_Yes","score"
"1",596723,26323.0923752769,3,0.461364316215591,603,505.509061649099,23.8066878011237,0.351221925580234,FALSE,1,0,0,0,0,2.02350315678856e-06
"2",841834,67374.6216540271,17.8610946100002,0.473516733721637,650,466.158075943051,26.0688033668878,0.0801063297604232,TRUE,1,0,0,1,1,0.225624493176192
"3",402401,1728.36971267805,21.6044888368538,0.486220378423186,606,603.346279639912,23.6289551487329,0.20818049697006,FALSE,1,0,0,1,0,5.59773200206024e-06
"4",734431,15814.2102605022,22.0584028768007,0.462249060878968,530,747.158220703162,22.5339570926947,0.0801218075308093,FALSE,1,0,0,1,1,1.52947101207776e-05
"5",739547,45233.588193493,1,0.541660078234399,640,704.781193789665,24.2987817059521,0.667269733724187,FALSE,1,0,0,0,1,0.000378311653545664
"6",203067,76883.6038312868,21.2974789220347,0.0631517256666864,619,708.863607364396,24.0148594503616,0.783786884723794,FALSE,1,0,0,1,1,1.35634476064025e-05
"7",133388,50946.9844189703,26.6532236781168,0.580729360348114,584,787.573182004325,24.8959834192148,0.416608800796193,FALSE,1,0,0,1,0,0.0728128233846116
"8",131709,21721.6491747821,7,0.187343722897625,689,747.99526785209,25.6742554699133,0.992081738661627,FALSE,1,0,0,0,0,1.52171477707095e-09
"9",310152,93121.7800952625,2,0.805218843605757,505,661.402491787759,21.9234840705923,0.254036816719605,TRUE,1,0,0,0,0,0.990797650174497
"10",552166,30086.0932573769,25.6096268020149,0.270330757002386,530,544.399542055049,22.3186054725249,0.251539220351797,FALSE,1,0,0,1,1,6.61664194332622e-07
"11",362007,52663.4866930933,12,0.304313748713427,578,603.113778770628,23.0497589776122,0.0552616688716881,FALSE,1,0,0,0,1,5.21321200876215e-07
"12",635393,32332.9695700875,11,0.222050835599268,618,723.438686366893,25.5360056045873,0.285372519763666,FALSE,1,0,0,0,1,1.01669179308372e-08
"13",221473,56191.2214048801,20.0742432372481,0.137479876182715,693,633.875379968728,27.0524861675529,0.801284350356908,FALSE,1,0,0,1,0,1.54552504777399e-05
"14",878414,31926.8094080604,22.6493738422236,0.261685062017965,596,689.963173924837,24.6318816946522,0.938721427166319,FALSE,1,0,0,1,0,2.53101240182135e-06
"15",290633,57922.4885987557,7,0.0954018362329859,697,651.096769889922,25.4380727099219,0.046348239633913,FALSE,1,0,0,0,0,3.0752102785344e-08
"16",756772,22662.863679229,11,0.505677019376959,641,766.581626661447,25.0701322968968,0.425655683212794,FALSE,1,0,0,0,1,2.23689352553256e-06
"17",955411,45318.9494070269,1,0.59429043771154,578,688.104825329467,24.4750520331353,0.0504449918654121,FALSE,1,0,0,0,1,0.0015100356414318
"18",997239,22769.5631170531,7,0.22635282737349,609,611.596650344425,24.2837011474275,0.441978292326562,FALSE,1,0,0,0,0,2.67246227620018e-09
"19",43398,71804.8371413177,16.6454145363895,1.06021132160696,588,599.287567030367,23.3069429798101,0.16402496861396,TRUE,1,0,0,1,1,0.999997686605713
"20",264349,67290.3779860771,19.6767305259213,0.419295070682021,631,695.080980346198,24.7241267203182,0.0381175273663827,FALSE,1,0,0,1,0,0.0341017192524288
"21",314391,26965.9923371591,0,0.149395634548514,574,765.982875630324,23.6400551319078,0.971307118898487,FALSE,1,0,0,0,1,1.32763231718891e-09
"22",714846,51653.694609628,20.9088398923335,0.411956123226045,618,896.927613910555,24.8352110895796,0.881618260807218,FALSE,1,0,0,1,1,0.00259849612393986
"23",892667,31450.4153135485,8,0.459738433384793,547,556.556692876145,22.6234728404725,0.399239803823225,FALSE,1,0,0,0,1,1.42229631067414e-06
"24",670648,85253.7529155321,20.8118714620115,0.557430718652465,590,524.630693485211,25.287507852545,0.479901271783325,TRUE,1,0,0,1,1,0.94430367321091
"25",584068,36214.2043472417,1,0.433087058195112,565,592.981733081852,23.3310497808273,0.969419294171595,FALSE,1,0,0,0,1,4.586168554988e-06
"26",107590,35270.7101693822,17.1935115546532,0.335603812445264,623,554.438811283969,24.0550817518123,0.285551673240829,FALSE,1,0,0,1,0,3.95060325026185e-05
"27",815672,98699.2680703941,14,0.252226919561333,645,822.442408995929,25.7072713900674,0.288762200242627,FALSE,1,0,0,0,0,0.000305200513488539
"28",460630,34163.0547810505,9,0.917756882390099,554,820.77296115221,23.6480848465754,0.656141985036503,TRUE,1,0,0,0,1,0.191676344382596
"29",354231,58028.4250195002,2,0.242661417715103,502,734.647295702393,23.2601006697359,0.499003687213432,FALSE,1,0,0,0,1,9.07620418144288e-07
"30",721713,44648.4600214021,7,0.229058529915437,691,768.917707105364,26.3231459649791,0.866138334910902,FALSE,1,0,0,0,0,1.66695461624882e-07
